model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9985226392745972,0.9985226392745972,r2,0.1784379482269287,0.049872398376464844,68.49894213676453,0.0372312068939209,0.0010216236114501953,0.06524300575256348,2,True,5
CatBoost,0.9983914494514465,0.9983914494514465,r2,0.04456734657287598,0.010045289993286133,65.17296433448792,0.04456734657287598,0.010045289993286133,65.17296433448792,1,True,3
LightGBM,0.9975590705871582,0.9975590705871582,r2,0.09663939476013184,0.038805484771728516,3.260734796524048,0.09663939476013184,0.038805484771728516,3.260734796524048,1,True,1
ExtraTrees,0.9912816286087036,0.9912816286087036,r2,0.3518800735473633,0.24725103378295898,19.602506160736084,0.3518800735473633,0.24725103378295898,19.602506160736084,1,True,4
RandomForest,0.9910653233528137,0.9910653233528137,r2,0.3716740608215332,0.10213708877563477,49.14510798454285,0.3716740608215332,0.10213708877563477,49.14510798454285,1,True,2
